date,session_key,position,driver_number,meeting_key
2025-09-07T13:29:20.880000+00:00,9912,18,87,1268
2025-09-07T13:29:20.880000+00:00,9912,17,10,1268
2025-09-07T13:29:37.454000+00:00,9912,19,87,1268
2025-09-07T13:29:37.454000+00:00,9912,18,30,1268
2025-09-07T13:30:30.756000+00:00,9912,11,22,1268
2025-09-07T13:30:30.756000+00:00,9912,10,55,1268
2025-09-07T13:30:31.360000+00:00,9912,12,22,1268
2025-09-07T13:30:31.360000+00:00,9912,11,23,1268
2025-09-07T13:30:32.024000+00:00,9912,13,22,1268
2025-09-07T13:30:32.024000+00:00,9912,12,31,1268
2025-09-07T13:30:32.890000+00:00,9912,14,22,1268
2025-09-07T13:30:32.890000+00:00,9912,13,18,1268
2025-09-07T13:30:34.333000+00:00,9912,15,22,1268
2025-09-07T13:30:34.333000+00:00,9912,14,6,1268
2025-09-07T13:30:35.016000+00:00,9912,14,22,1268
2025-09-07T13:30:35.016000+00:00,9912,15,6,1268
2025-09-07T13:30:38.797000+00:00,9912,15,22,1268
2025-09-07T13:30:38.797000+00:00,9912,14,6,1268
2025-09-07T13:30:43.060000+00:00,9912,16,22,1268
2025-09-07T13:30:43.060000+00:00,9912,15,43,1268
2025-09-07T13:30:45.134000+00:00,9912,17,22,1268
2025-09-07T13:30:45.134000+00:00,9912,16,10,1268
2025-09-07T13:31:01.367000+00:00,9912,18,22,1268
2025-09-07T13:31:01.367000+00:00,9912,17,30,1268
2025-09-07T13:31:25.808000+00:00,9912,19,22,1268
2025-09-07T13:31:25.808000+00:00,9912,18,87,1268
2025-09-07T13:31:52.262000+00:00,9912,7,12,1268
2025-09-07T13:31:52.262000+00:00,9912,8,5,1268
2025-09-07T13:31:52.262000+00:00,9912,9,14,1268
2025-09-07T13:31:54.981000+00:00,9912,9,5,1268
2025-09-07T13:31:54.981000+00:00,9912,10,14,1268
2025-09-07T13:31:54.981000+00:00,9912,8,55,1268
2025-09-07T13:31:55.606000+00:00,9912,10,5,1268
2025-09-07T13:31:55.606000+00:00,9912,11,14,1268
2025-09-07T13:31:55.606000+00:00,9912,9,23,1268
2025-09-07T13:31:55.825000+00:00,9912,9,5,1268
2025-09-07T13:31:55.825000+00:00,9912,10,23,1268
2025-09-07T13:31:56.059000+00:00,9912,10,14,1268
2025-09-07T13:31:56.059000+00:00,9912,11,23,1268
2025-09-07T13:32:00.062000+00:00,9912,10,5,1268
2025-09-07T13:32:00.062000+00:00,9912,11,14,1268
2025-09-07T13:32:00.062000+00:00,9912,9,23,1268
2025-09-07T13:32:00.734000+00:00,9912,11,5,1268
2025-09-07T13:32:00.734000+00:00,9912,12,14,1268
2025-09-07T13:32:00.734000+00:00,9912,10,31,1268
2025-09-07T13:32:01.516000+00:00,9912,12,5,1268
2025-09-07T13:32:01.516000+00:00,9912,13,14,1268
2025-09-07T13:32:01.516000+00:00,9912,11,18,1268
2025-09-07T13:32:02.985000+00:00,9912,13,5,1268
2025-09-07T13:32:02.985000+00:00,9912,14,14,1268
2025-09-07T13:32:02.985000+00:00,9912,12,6,1268
2025-09-07T13:32:07.375000+00:00,9912,14,5,1268
2025-09-07T13:32:07.375000+00:00,9912,15,14,1268
2025-09-07T13:32:07.375000+00:00,9912,13,43,1268
2025-09-07T13:32:09.422000+00:00,9912,15,5,1268
2025-09-07T13:32:09.422000+00:00,9912,16,14,1268
2025-09-07T13:32:09.422000+00:00,9912,14,10,1268
2025-09-07T13:32:17.487000+00:00,9912,16,5,1268
2025-09-07T13:32:17.487000+00:00,9912,15,14,1268
2025-09-07T13:32:28.587000+00:00,9912,17,5,1268
2025-09-07T13:32:28.587000+00:00,9912,16,30,1268
2025-09-07T13:34:06.088000+00:00,9912,16,5,1268
2025-09-07T13:34:06.088000+00:00,9912,17,30,1268
