Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 01:07:42.690000,TSU,22,0 days 00:01:28.323000,6.0,1.0,,,0 days 00:00:32.617000,0 days 00:00:30.124000,0 days 00:00:25.582000,0 days 01:06:46.984000,0 days 01:07:17.108000,0 days 01:07:42.690000,231.0,286.0,282.0,336.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:06:14.367000,2025-11-30 16:11:00.042,1,16.0,False,,False,True,88.323,32.617,30.124,25.582,Qatar Grand Prix
0 days 01:09:31.905000,TSU,22,0 days 00:01:49.215000,7.0,1.0,,0 days 01:09:27.857000,0 days 00:00:32.577000,0 days 00:00:41.391000,0 days 00:00:35.247000,0 days 01:08:15.267000,0 days 01:08:56.658000,0 days 01:09:31.905000,,243.0,,337.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:42.690000,2025-11-30 16:12:28.365,124,14.0,False,,False,False,109.215,32.577,41.391,35.247,Qatar Grand Prix
0 days 01:11:46.277000,TSU,22,0 days 00:02:14.372000,8.0,2.0,0 days 01:09:56.998000,,0 days 00:01:08.030000,0 days 00:00:35.685000,0 days 00:00:30.657000,0 days 01:10:39.935000,0 days 01:11:15.620000,0 days 01:11:46.277000,222.0,225.0,241.0,178.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:09:31.905000,2025-11-30 16:14:17.580,4,13.0,False,,False,False,134.372,68.03,35.685,30.657,Qatar Grand Prix
0 days 01:14:08.252000,TSU,22,0 days 00:02:21.975000,9.0,2.0,,,0 days 00:00:53.025000,0 days 00:00:44.348000,0 days 00:00:44.602000,0 days 01:12:39.302000,0 days 01:13:23.650000,0 days 01:14:08.252000,81.0,244.0,207.0,253.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:11:46.277000,2025-11-30 16:16:31.952,4,12.0,False,,False,False,141.975,53.025,44.348,44.602,Qatar Grand Prix
0 days 01:16:19.304000,TSU,22,0 days 00:02:11.052000,10.0,2.0,,,0 days 00:00:46.989000,0 days 00:00:44.173000,0 days 00:00:39.890000,0 days 01:14:55.241000,0 days 01:15:39.414000,0 days 01:16:19.304000,166.0,145.0,281.0,249.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:14:08.252000,2025-11-30 16:18:53.927,41,12.0,False,,False,False,131.052,46.989,44.173,39.89,Qatar Grand Prix
0 days 01:17:47.542000,TSU,22,0 days 00:01:28.238000,11.0,2.0,,,0 days 00:00:32.864000,0 days 00:00:29.944000,0 days 00:00:25.430000,0 days 01:16:52.168000,0 days 01:17:22.112000,0 days 01:17:47.542000,233.0,289.0,282.0,312.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:16:19.304000,2025-11-30 16:21:04.979,1,12.0,False,,False,True,88.238,32.864,29.944,25.43,Qatar Grand Prix
0 days 01:19:15.849000,TSU,22,0 days 00:01:28.307000,12.0,2.0,,,0 days 00:00:32.762000,0 days 00:00:30.076000,0 days 00:00:25.469000,0 days 01:18:20.304000,0 days 01:18:50.380000,0 days 01:19:15.849000,235.0,289.0,283.0,315.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:17:47.542000,2025-11-30 16:22:33.217,1,12.0,False,,False,True,88.307,32.762,30.076,25.469,Qatar Grand Prix
0 days 01:20:43.722000,TSU,22,0 days 00:01:27.873000,13.0,2.0,,,0 days 00:00:32.434000,0 days 00:00:29.942000,0 days 00:00:25.497000,0 days 01:19:48.283000,0 days 01:20:18.225000,0 days 01:20:43.722000,228.0,287.0,282.0,337.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:19:15.849000,2025-11-30 16:24:01.524,1,12.0,False,,False,True,87.873,32.434,29.942,25.497,Qatar Grand Prix
0 days 01:22:11.411000,TSU,22,0 days 00:01:27.689000,14.0,2.0,,,0 days 00:00:32.297000,0 days 00:00:29.941000,0 days 00:00:25.451000,0 days 01:21:16.019000,0 days 01:21:45.960000,0 days 01:22:11.411000,229.0,286.0,283.0,334.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:20:43.722000,2025-11-30 16:25:29.397,1,12.0,False,,False,True,87.689,32.297,29.941,25.451,Qatar Grand Prix
0 days 01:23:39.277000,TSU,22,0 days 00:01:27.866000,15.0,2.0,,,0 days 00:00:32.318000,0 days 00:00:30.043000,0 days 00:00:25.505000,0 days 01:22:43.729000,0 days 01:23:13.772000,0 days 01:23:39.277000,,287.0,281.0,337.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:22:11.411000,2025-11-30 16:26:57.086,1,12.0,False,,False,True,87.866,32.318,30.043,25.505,Qatar Grand Prix
