date,session_key,position,driver_number,meeting_key
2025-11-09T17:15:09.789000+00:00,9869,15,1,1273
2025-11-09T17:15:10.364000+00:00,9869,16,1,1273
2025-11-09T17:15:10.364000+00:00,9869,15,31,1273
2025-11-09T17:15:10.888000+00:00,9869,16,44,1273
2025-11-09T17:15:10.888000+00:00,9869,17,1,1273
2025-11-09T17:15:25.886000+00:00,9869,17,18,1273
2025-11-09T17:15:25.886000+00:00,9869,18,1,1273
2025-11-09T17:16:47.708000+00:00,9869,14,43,1273
2025-11-09T17:16:47.708000+00:00,9869,13,22,1273
2025-11-09T17:16:48.606000+00:00,9869,8,87,1273
2025-11-09T17:16:48.606000+00:00,9869,7,10,1273
2025-11-09T17:16:48.840000+00:00,9869,15,44,1273
2025-11-09T17:16:48.840000+00:00,9869,16,31,1273
2025-11-09T17:16:50.356000+00:00,9869,11,14,1273
2025-11-09T17:16:50.356000+00:00,9869,10,55,1273
2025-11-09T17:17:00+00:00,9869,18,18,1273
2025-11-09T17:17:00+00:00,9869,16,1,1273
2025-11-09T17:17:00+00:00,9869,17,31,1273
2025-11-09T17:17:00.386000+00:00,9869,17,18,1273
2025-11-09T17:17:00.386000+00:00,9869,18,31,1273
2025-11-09T17:17:00.922000+00:00,9869,5,63,1273
2025-11-09T17:17:00.922000+00:00,9869,6,30,1273
2025-11-09T17:17:01.417000+00:00,9869,7,87,1273
2025-11-09T17:17:01.417000+00:00,9869,8,10,1273
2025-11-09T17:17:03.867000+00:00,9869,9,10,1273
2025-11-09T17:17:03.867000+00:00,9869,8,23,1273
2025-11-09T17:17:10.048000+00:00,9869,8,10,1273
2025-11-09T17:17:10.048000+00:00,9869,9,23,1273
2025-11-09T17:19:18.803000+00:00,9869,14,44,1273
2025-11-09T17:19:18.803000+00:00,9869,15,43,1273
2025-11-09T17:19:18.891000+00:00,9869,15,44,1273
2025-11-09T17:19:18.891000+00:00,9869,14,43,1273
2025-11-09T17:20:45.403000+00:00,9869,5,6,1273
2025-11-09T17:20:45.403000+00:00,9869,4,63,1273
2025-11-09T17:21:48.266000+00:00,9869,7,30,1273
2025-11-09T17:21:48.266000+00:00,9869,6,87,1273
2025-11-09T17:21:54.634000+00:00,9869,16,44,1273
2025-11-09T17:21:54.634000+00:00,9869,15,1,1273
2025-11-09T17:23:05.540000+00:00,9869,15,43,1273
2025-11-09T17:23:05.540000+00:00,9869,14,1,1273
2025-11-09T17:24:24.803000+00:00,9869,14,22,1273
2025-11-09T17:24:24.803000+00:00,9869,13,1,1273
2025-11-09T17:24:26.435000+00:00,9869,17,44,1273
2025-11-09T17:24:26.435000+00:00,9869,16,18,1273
2025-11-09T17:24:41.857000+00:00,9869,18,44,1273
2025-11-09T17:24:41.857000+00:00,9869,17,31,1273
2025-11-09T17:26:55.786000+00:00,9869,13,27,1273
2025-11-09T17:26:55.786000+00:00,9869,12,1,1273
2025-11-09T17:28:04.329000+00:00,9869,6,30,1273
2025-11-09T17:28:04.329000+00:00,9869,7,87,1273
2025-11-09T17:28:04.967000+00:00,9869,8,87,1273
2025-11-09T17:28:04.967000+00:00,9869,7,10,1273
2025-11-09T17:28:05.596000+00:00,9869,9,87,1273
2025-11-09T17:28:05.596000+00:00,9869,8,23,1273
2025-11-09T17:28:07.542000+00:00,9869,12,14,1273
2025-11-09T17:28:07.542000+00:00,9869,11,55,1273
2025-11-09T17:28:07.542000+00:00,9869,10,1,1273
2025-11-09T17:28:07.670000+00:00,9869,11,14,1273
2025-11-09T17:28:07.670000+00:00,9869,12,55,1273
2025-11-09T17:28:08.308000+00:00,9869,12,27,1273
2025-11-09T17:28:08.308000+00:00,9869,13,55,1273
2025-11-09T17:28:08.905000+00:00,9869,14,55,1273
2025-11-09T17:28:08.905000+00:00,9869,13,22,1273
2025-11-09T17:28:11.757000+00:00,9869,10,87,1273
2025-11-09T17:28:11.757000+00:00,9869,9,1,1273
2025-11-09T17:28:12.050000+00:00,9869,11,87,1273
2025-11-09T17:28:12.050000+00:00,9869,10,14,1273
2025-11-09T17:28:12.771000+00:00,9869,12,87,1273
2025-11-09T17:28:12.771000+00:00,9869,11,27,1273
2025-11-09T17:28:13.269000+00:00,9869,13,87,1273
2025-11-09T17:28:13.269000+00:00,9869,12,22,1273
2025-11-09T17:28:15.457000+00:00,9869,14,87,1273
2025-11-09T17:28:15.457000+00:00,9869,15,55,1273
2025-11-09T17:28:15.457000+00:00,9869,13,43,1273
2025-11-09T17:28:17.563000+00:00,9869,15,87,1273
2025-11-09T17:28:17.563000+00:00,9869,14,18,1273
2025-11-09T17:28:17.563000+00:00,9869,16,55,1273
2025-11-09T17:28:27.807000+00:00,9869,16,87,1273
2025-11-09T17:28:27.807000+00:00,9869,17,55,1273
2025-11-09T17:28:27.807000+00:00,9869,15,31,1273
2025-11-09T17:28:33.040000+00:00,9869,17,44,1273
2025-11-09T17:28:33.040000+00:00,9869,18,55,1273
2025-11-09T17:29:20.243000+00:00,9869,6,6,1273
2025-11-09T17:29:20.243000+00:00,9869,5,30,1273
2025-11-09T17:29:21.443000+00:00,9869,7,6,1273
2025-11-09T17:29:21.443000+00:00,9869,8,10,1273
2025-11-09T17:29:21.443000+00:00,9869,6,23,1273
2025-11-09T17:29:22.587000+00:00,9869,9,10,1273
2025-11-09T17:29:22.587000+00:00,9869,8,1,1273
2025-11-09T17:29:23.804000+00:00,9869,10,10,1273
2025-11-09T17:29:23.804000+00:00,9869,9,14,1273
2025-11-09T17:29:24.339000+00:00,9869,11,10,1273
2025-11-09T17:29:24.339000+00:00,9869,10,27,1273
2025-11-09T17:29:26.952000+00:00,9869,8,6,1273
2025-11-09T17:29:26.952000+00:00,9869,7,1,1273
2025-11-09T17:29:28.305000+00:00,9869,9,6,1273
2025-11-09T17:29:28.305000+00:00,9869,8,14,1273
2025-11-09T17:29:28.853000+00:00,9869,10,6,1273
2025-11-09T17:29:28.853000+00:00,9869,9,27,1273
2025-11-09T17:29:29.372000+00:00,9869,11,6,1273
2025-11-09T17:29:29.372000+00:00,9869,12,10,1273
2025-11-09T17:29:29.372000+00:00,9869,10,22,1273
2025-11-09T17:29:31.718000+00:00,9869,12,6,1273
2025-11-09T17:29:31.718000+00:00,9869,13,10,1273
2025-11-09T17:29:31.718000+00:00,9869,11,43,1273
2025-11-09T17:29:33.140000+00:00,9869,13,6,1273
2025-11-09T17:29:33.140000+00:00,9869,14,10,1273
2025-11-09T17:29:33.140000+00:00,9869,12,18,1273
2025-11-09T17:29:38.910000+00:00,9869,18,16,1273
