date,session_key,driver_number,position,meeting_key
2025-06-29T13:18:33.944000+00:00,9955,27,17,1264
2025-06-29T13:18:37.505000+00:00,9955,14,11,1264
2025-06-29T13:18:37.505000+00:00,9955,43,10,1264
2025-06-29T13:18:38.505000+00:00,9955,6,16,1264
2025-06-29T13:18:38.505000+00:00,9955,31,15,1264
2025-06-29T13:18:47.350000+00:00,9955,14,10,1264
2025-06-29T13:18:47.350000+00:00,9955,43,11,1264
2025-06-29T13:18:53.047000+00:00,9955,6,17,1264
2025-06-29T13:18:53.047000+00:00,9955,27,16,1264
2025-06-29T13:18:54.305000+00:00,9955,44,4,1264
2025-06-29T13:18:54.305000+00:00,9955,63,5,1264
2025-06-29T13:18:58.142000+00:00,9955,31,14,1264
2025-06-29T13:18:58.142000+00:00,9955,22,15,1264
2025-06-29T13:18:58.831000+00:00,9955,6,16,1264
2025-06-29T13:18:58.831000+00:00,9955,27,17,1264
2025-06-29T13:21:40.685000+00:00,9955,6,15,1264
2025-06-29T13:21:40.685000+00:00,9955,22,16,1264
2025-06-29T13:21:47.473000+00:00,9955,6,16,1264
2025-06-29T13:21:47.473000+00:00,9955,22,15,1264
2025-06-29T13:21:49.176000+00:00,9955,6,17,1264
2025-06-29T13:21:49.176000+00:00,9955,27,16,1264
2025-06-29T13:23:41.923000+00:00,9955,43,12,1264
2025-06-29T13:23:41.923000+00:00,9955,87,11,1264
2025-06-29T13:23:47.758000+00:00,9955,43,11,1264
2025-06-29T13:23:47.758000+00:00,9955,87,12,1264
2025-06-29T13:24:59.686000+00:00,9955,43,12,1264
2025-06-29T13:24:59.686000+00:00,9955,87,11,1264
2025-06-29T13:29:40.920000+00:00,9955,10,7,1264
2025-06-29T13:29:40.920000+00:00,9955,23,6,1264
2025-06-29T13:31:42.901000+00:00,9955,4,2,1264
2025-06-29T13:31:42.901000+00:00,9955,81,1,1264
2025-06-29T13:31:55.526000+00:00,9955,4,1,1264
2025-06-29T13:31:55.526000+00:00,9955,81,2,1264
2025-06-29T13:32:54.570000+00:00,9955,43,11,1264
2025-06-29T13:32:54.570000+00:00,9955,87,12,1264
2025-06-29T13:32:54.833000+00:00,9955,87,13,1264
2025-06-29T13:32:54.833000+00:00,9955,18,12,1264
2025-06-29T13:32:55.574000+00:00,9955,87,14,1264
2025-06-29T13:32:55.574000+00:00,9955,31,13,1264
2025-06-29T13:32:56.261000+00:00,9955,87,15,1264
2025-06-29T13:32:56.261000+00:00,9955,22,14,1264
2025-06-29T13:33:00.033000+00:00,9955,87,16,1264
2025-06-29T13:33:00.033000+00:00,9955,27,15,1264
2025-06-29T13:33:00.660000+00:00,9955,6,16,1264
2025-06-29T13:33:00.660000+00:00,9955,87,17,1264
2025-06-29T13:33:14.336000+00:00,9955,43,12,1264
2025-06-29T13:33:14.336000+00:00,9955,18,11,1264
2025-06-29T13:33:20.179000+00:00,9955,43,11,1264
2025-06-29T13:33:20.179000+00:00,9955,18,12,1264
2025-06-29T13:33:25.508000+00:00,9955,18,13,1264
2025-06-29T13:33:25.508000+00:00,9955,31,12,1264
2025-06-29T13:33:30.695000+00:00,9955,5,7,1264
2025-06-29T13:33:30.695000+00:00,9955,10,8,1264
2025-06-29T13:33:34.898000+00:00,9955,18,12,1264
2025-06-29T13:33:34.898000+00:00,9955,31,13,1264
2025-06-29T13:33:34.930000+00:00,9955,5,8,1264
2025-06-29T13:33:34.930000+00:00,9955,10,7,1264
2025-06-29T13:33:39.133000+00:00,9955,18,13,1264
2025-06-29T13:33:39.133000+00:00,9955,31,12,1264
2025-06-29T13:33:40.180000+00:00,9955,5,7,1264
2025-06-29T13:33:40.180000+00:00,9955,10,8,1264
2025-06-29T13:34:04.167000+00:00,9955,30,8,1264
2025-06-29T13:34:04.167000+00:00,9955,10,9,1264
2025-06-29T13:34:04.573000+00:00,9955,10,10,1264
2025-06-29T13:34:04.573000+00:00,9955,14,9,1264
2025-06-29T13:34:06.600000+00:00,9955,10,11,1264
2025-06-29T13:34:06.600000+00:00,9955,43,10,1264
2025-06-29T13:34:09.132000+00:00,9955,6,15,1264
2025-06-29T13:34:09.132000+00:00,9955,27,16,1264
2025-06-29T13:34:10.366000+00:00,9955,10,12,1264
2025-06-29T13:34:10.366000+00:00,9955,31,11,1264
2025-06-29T13:34:10.882000+00:00,9955,10,13,1264
2025-06-29T13:34:10.882000+00:00,9955,18,12,1264
