meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1261,9979,2025-05-25T13:38:51+00:00,18.0,27,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:38:50
1261,9979,2025-05-25T13:39:43+00:00,43.0,28,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:39:42
1261,9979,2025-05-25T13:40:23+00:00,27.0,28,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:40:23
1261,9979,2025-05-25T13:40:40+00:00,5.0,28,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 15:40:39
1261,9979,2025-05-25T13:40:50+00:00,5.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 15:40:49
1261,9979,2025-05-25T13:41:00+00:00,43.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:41:00
1261,9979,2025-05-25T13:41:09+00:00,43.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:41:09
1261,9979,2025-05-25T13:41:54+00:00,87.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:41:54
1261,9979,2025-05-25T13:42:15+00:00,18.0,30,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:42:15
1261,9979,2025-05-25T13:42:45+00:00,27.0,30,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:42:44
1261,9979,2025-05-25T13:43:10+00:00,87.0,30,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:43:10
1261,9979,2025-05-25T13:43:20+00:00,22.0,31,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:43:19
1261,9979,2025-05-25T13:43:40+00:00,12.0,31,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 12 (ANT) TIMED AT 15:43:40
