date,session_key,meeting_key,position,driver_number
2025-09-21T11:04:10.329000+00:00,9904,1269,17,31
2025-09-21T11:04:10.365000+00:00,9904,1269,19,81
2025-09-21T11:04:10.365000+00:00,9904,1269,18,10
2025-09-21T11:04:10.496000+00:00,9904,1269,20,81
2025-09-21T11:04:10.496000+00:00,9904,1269,19,23
2025-09-21T11:04:13.147000+00:00,9904,1269,6,63
2025-09-21T11:04:13.147000+00:00,9904,1269,5,22
2025-09-21T11:04:13.789000+00:00,9904,1269,8,4
2025-09-21T11:04:13.789000+00:00,9904,1269,7,6
2025-09-21T11:04:20.309000+00:00,9904,1269,11,14
2025-09-21T11:04:20.309000+00:00,9904,1269,10,44
2025-09-21T11:04:24.889000+00:00,9904,1269,9,4
2025-09-21T11:04:24.889000+00:00,9904,1269,8,16
2025-09-21T11:04:24.948000+00:00,9904,1269,8,4
2025-09-21T11:04:24.948000+00:00,9904,1269,9,16
2025-09-21T11:04:25.499000+00:00,9904,1269,10,14
2025-09-21T11:04:25.499000+00:00,9904,1269,11,44
2025-09-21T11:04:27.538000+00:00,9904,1269,17,10
2025-09-21T11:04:27.538000+00:00,9904,1269,18,31
2025-09-21T11:04:29.164000+00:00,9904,1269,5,63
2025-09-21T11:04:29.164000+00:00,9904,1269,6,22
2025-09-21T11:04:30.862000+00:00,9904,1269,11,14
2025-09-21T11:04:30.862000+00:00,9904,1269,10,44
2025-09-21T11:04:31.974000+00:00,9904,1269,15,87
2025-09-21T11:04:31.974000+00:00,9904,1269,14,43
2025-09-21T11:04:32.822000+00:00,9904,1269,18,10
2025-09-21T11:04:32.822000+00:00,9904,1269,17,31
2025-09-21T11:04:33.230000+00:00,9904,1269,18,81
2025-09-21T11:04:33.230000+00:00,9904,1269,19,10
2025-09-21T11:04:33.230000+00:00,9904,1269,20,23
2025-09-21T11:04:50.049000+00:00,9904,1269,17,27
2025-09-21T11:04:50.049000+00:00,9904,1269,16,31
2025-09-21T11:04:50.330000+00:00,9904,1269,19,81
2025-09-21T11:04:50.330000+00:00,9904,1269,18,10
2025-09-21T11:04:50.500000+00:00,9904,1269,20,81
2025-09-21T11:04:50.500000+00:00,9904,1269,19,23
2025-09-21T11:05:01.785000+00:00,9904,1269,18,27
2025-09-21T11:05:01.785000+00:00,9904,1269,17,10
2025-09-21T11:06:24.512000+00:00,9904,1269,16,10
2025-09-21T11:06:24.512000+00:00,9904,1269,17,31
2025-09-21T11:06:25.642000+00:00,9904,1269,17,27
2025-09-21T11:06:25.642000+00:00,9904,1269,18,31
2025-09-21T11:09:12.083000+00:00,9904,1269,18,23
2025-09-21T11:09:12.083000+00:00,9904,1269,19,31
