meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1255,9998,2025-03-23T07:35:41+00:00,,20,Other,,,,CAR 22 (TSU) TIME 1:39.932 DELETED - TRACK LIMITS AT TURN 14 LAP 16 15:30:17
1255,9998,2025-03-23T08:19:53+00:00,,47,Other,,,,TURN 14 INCIDENT INVOLVING CARS 7 (DOO) AND 6 (HAD) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK
1255,9998,2025-03-23T08:20:50+00:00,22.0,48,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:20:49
1255,9998,2025-03-23T08:21:24+00:00,,48,Other,,,,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 7 (DOO) AND 6 (HAD) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK
1255,9998,2025-03-23T08:22:37+00:00,27.0,49,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:22:36
1255,9998,2025-03-23T08:24:11+00:00,27.0,50,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:24:10
1255,9998,2025-03-23T08:24:22+00:00,,50,Other,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 7 (DOO) - FORCING ANOTHER DRIVER OFF THE TRACK
1255,9998,2025-03-23T08:24:33+00:00,,50,Other,,,,CAR 7 (DOO) TIME 1:38.345 DELETED - TRACK LIMITS AT TURN 14 LAP 45 16:17:53
1255,9998,2025-03-23T08:24:35+00:00,,50,Other,,,,CAR 6 (HAD) TIME 1:38.600 DELETED - TRACK LIMITS AT TURN 14 LAP 45 16:17:53
1255,9998,2025-03-23T08:26:04+00:00,5.0,51,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:26:03
1255,9998,2025-03-23T08:26:38+00:00,,52,Other,,,,TURN 1 INCIDENT INVOLVING CAR 7 (DOO) NOTED - MOVING UNDER BRAKING
1255,9998,2025-03-23T08:27:22+00:00,5.0,52,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:27:22
1255,9998,2025-03-23T08:29:53+00:00,27.0,54,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:29:52
1255,9998,2025-03-23T08:32:57+00:00,27.0,56,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:32:57
1255,9998,2025-03-23T08:33:14+00:00,,56,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 7 (DOO) REVIEWED NO FURTHER INVESTIGATION - MOVING UNDER BRAKING
1255,9998,2025-03-23T08:34:33+00:00,,56,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1255,9998,2025-03-23T08:34:36+00:00,5.0,56,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:34:35
